otu,mda
otu170,0.8624138771394118
otu361,0.8483722854200214
otu596,0.8461488417099028
otu1643,0.8317791699479931
otu245,0.8211354666938853
otu1573,0.8030671543265289
otu133,0.793754907730052
otu167,0.7882828486733277
otu1799,0.7858450644044953
otu182,0.7806110589691709
otu1813,0.7777509361587889
otu403,0.7677059688888997
otu12,0.7566493059135063
otu82,0.7544457423182024
otu99,0.7482892188821358
otu347,0.7314662400510478
otu219,0.7287816143624055
otu2923,0.7193705427900163
otu1549,0.7101234810226629
otu723,0.7085252515814197
otu176,0.7063626291282425
otu512,0.7008454083569465
otu447,0.6947125179709105
otu168,0.6926833135989469
otu274,0.6903106835793229
otu1530,0.6872892814876451
otu388,0.6851076346892795
otu2763,0.6847428595766918
otu137,0.6840705891255527
otu508,0.6811607750854689
otu96,0.6806842516763975
otu633,0.6793616943761898
otu671,0.6666544062758779
otu577,0.6499054115715448
otu839,0.6363236643553234
otu233,0.6189971075888249
otu72,0.5987631277786881
otu142,0.5874490552611656
otu262,0.5864420286766324
otu6,0.5694461207412899
otu84,0.5541090391960241
otu1159,0.5522636815994092
otu1603,0.5419775189225877
otu419,0.5125757281432259
otu1069,0.5107476038537733
otu1149,0.5005007512521915
otu2010,0.5005007512521915
otu2281,0.5005007512521915
otu238,0.5005007512521915
otu2338,0.5005007512521915
otu252,0.5005007512521915
otu339,0.5005007512521915
otu352,0.5005007512521915
otu372,0.5005007512521915
otu377,0.5005007512521915
otu382,0.5005007512521915
otu389,0.5005007512521915
otu407,0.5005007512521915
otu620,0.5005007512521915
otu672,0.5005007512521915
otu68,0.5005007512521915
otu739,0.5005007512521915
otu776,0.5005007512521915
otu934,0.5005007512521915
otu2477,0.5005007512521914
otu2870,0.5005007512521914
otu2891,0.5005007512521914
otu1024,0.5005007512521914
otu1214,0.5005007512521914
otu1340,0.5005007512521914
otu1345,0.5005007512521914
otu175,0.5005007512521914
otu1743,0.5005007512521914
otu1878,0.5005007512521914
otu197,0.5005007512521914
otu2040,0.5005007512521914
otu2082,0.5005007512521914
otu215,0.5005007512521914
otu220,0.5005007512521914
otu2222,0.5005007512521914
otu232,0.5005007512521914
otu234,0.5005007512521914
otu246,0.5005007512521914
otu255,0.5005007512521914
otu299,0.5005007512521914
otu324,0.5005007512521914
otu360,0.5005007512521914
otu455,0.5005007512521914
otu471,0.5005007512521914
otu516,0.5005007512521914
otu616,0.5005007512521914
otu749,0.5005007512521914
otu86,0.5005007512521914
otu66,0.48456828008915337
otu10,0.4813967053655312
otu2648,0.4725372928441297
otu686,0.4722389900116692
otu649,0.4586559501478339
otu1653,0.4472646914240882
otu2754,0.4447003840117122
otu820,0.4438442577760552
otu1701,0.434788570877554
otu1191,0.41972005207063323
otu4,0.4136420856685721
otu226,0.40714369781726667
otu2847,0.39294711330853677
otu327,0.37771700775376865
otu298,0.34862926348686774
otu465,0.3429676139861697
otu864,0.3380320940809296
otu560,0.3137007228279981
otu310,0.30139202948153665
otu1740,0.2877057939547081
otu149,0.2785694773685915
otu93,0.27492314759368497
otu1021,0.2661799470594981
